Latest: Time (min),Latest: Temperature (°C)
0,18.102830552
0.0166666666667,18.4094590875
0.0333333333333,18.697623449
0.05,18.9733802452
0.0666666666667,19.2353377226
0.0833333333333,19.5086803229
0.1,19.7697869307
0.116666666667,20.0717149327
0.133333333333,20.3158410841
0.15,20.5523198092
0.166666666667,20.7503959745
0.183333333333,20.948285771
0.2,21.1211095638
0.216666666667,21.2923390968
0.233333333333,21.4298179859
0.25,21.5672193472
0.266666666667,21.685558166
0.283333333333,21.7994629779
0.3,21.9133191358
0.316666666667,22.0052453479
0.333333333333,22.1000583777
0.35,22.1758863383
0.366666666667,22.2560677699
0.383333333333,22.3260268505
0.4,22.3988839823
0.416666666667,22.4644409527
0.433333333333,22.5168768645
0.45,22.5780414379
0.466666666667,22.6231794791
0.483333333333,22.6785017383
0.5,22.7163486575
0.516666666667,22.7600130554
0.533333333333,22.794940672
0.55,22.8371403111
0.566666666667,22.8938837948
0.583333333333,22.936071995
0.6,22.9578916064
0.616666666667,22.9840734739
0.633333333333,23.0175254631
0.65,23.0437032522
0.666666666667,23.0509745468
0.683333333333,23.0727876184
0.7,23.088783101
0.716666666667,23.1018698324
0.733333333333,23.1164101397
0.75,23.1382196092
0.766666666667,23.1440352679
0.783333333333,23.1513047235
0.8,23.1643894148
0.816666666667,23.1658432434
0.833333333333,23.168750885
0.85,23.170204698
0.866666666667,23.170204698
0.883333333333,23.1745661059
0.9,23.1760198982
0.916666666667,23.1731123084
0.933333333333,23.1731123084
0.95,23.1731123084
0.966666666667,23.1672970668
0.983333333333,23.1672970668
1,23.1658432434
1.01666666667,23.1643894148
1.03333333333,23.1498508429
1.05,23.1454891695
1.06666666667,23.1411274491
1.08333333333,23.1324038666
1.1,23.1135021207
1.11666666667,23.0989617072
1.13333333333,23.0960535607
1.15,23.0829666369
1.16666666667,23.0684251013
1.18333333333,23.0538830267
1.2,23.0495202988
1.21666666667,23.0393404102
1.23333333333,23.0277059249
1.25,23.0102535399
1.26666666667,22.9869824588
1.28333333333,22.9768009144
1.3,22.9564370051
1.31666666667,22.9520731673
1.33333333333,22.9258890747
1.35,22.908431992
1.36666666667,22.8749702794
1.38333333333,22.84732569
1.4,22.8284097578
1.41666666667,22.8022168264
1.43333333333,22.7934854233
1.45,22.7716559772
1.46666666667,22.7527360339
1.48333333333,22.725081974
1.5,22.7076151212
1.51666666667,22.6988813646
1.53333333333,22.679957466
1.55,22.6566650798
1.56666666667,22.6348270204
1.58333333333,22.6086194858
1.6,22.5867783092
1.61666666667,22.5765852703
1.63333333333,22.5445479621
1.65,22.5241589594
1.66666666667,22.5095946068
1.68333333333,22.489203416
1.7,22.4688109378
1.71666666667,22.4382197884
1.73333333333,22.420737812
1.75,22.4003409514
1.76666666667,22.3784857036
1.78333333333,22.3522573868
1.8,22.3289414647
1.81666666667,22.3056237767
1.83333333333,22.2910493194
1.85,22.2662711393
1.86666666667,22.2385754752
1.88333333333,22.2196243379
1.9,22.2050457211
1.91666666667,22.1729702417
1.93333333333,22.151098595
1.95,22.1336001011
1.96666666667,22.1146422127
1.98333333333,22.0956830836
2,22.0621369495
2.01666666667,22.0504678071
2.03333333333,22.0256692891
2.05,21.9979507241
2.06666666667,21.9775247677
2.08333333333,21.9570973167
2.1,21.9352090941
2.11666666667,21.9133191358
2.13333333333,21.8928869331
2.15,21.8651550677
2.16666666667,21.8417997181
2.18333333333,21.8257417415
2.2,21.7980029707
2.21666666667,21.7761019022
2.23333333333,21.7512785022
2.25,21.7410564229
2.26666666667,21.7176901744
2.28333333333,21.6811762204
2.3,21.6753335108
2.31666666667,21.6534221716
2.33333333333,21.6256651254
2.35,21.6052106349
2.36666666667,21.5803708238
2.38333333333,21.5628353691
2.4,21.5423757923
2.41666666667,21.5219145424
2.43333333333,21.4926812663
2.45,21.4707540422
2.46666666667,21.4561348075
2.48333333333,21.4239694179
2.5,21.4020360343
2.51666666667,21.3801006634
