Latest: Time (min),Latest: Temperature (°C)
0,35.4168573066
0.0166666666667,35.7811842978
0.0333333333333,36.0236885442
0.05,36.2150233444
0.0666666666667,36.3610212113
0.0833333333333,36.4584599508
0.1,36.55446067
0.116666666667,36.6261353311
0.133333333333,36.6795408859
0.15,36.7451896624
0.166666666667,36.77573766
0.183333333333,36.8154631045
0.2,36.8475598455
0.216666666667,36.8720210072
0.233333333333,36.8964878075
0.25,36.9194305662
0.266666666667,36.9224899766
0.283333333333,36.9331986108
0.3,36.9408483
0.316666666667,36.9393183178
0.333333333333,36.9316687394
0.35,36.9224899766
0.366666666667,36.9179008941
0.383333333333,36.8964878075
0.4,36.8720210072
0.416666666667,36.8521458845
0.433333333333,36.8399168866
0.45,36.8032383168
0.466666666667,36.7742100531
0.483333333333,36.7497713069
0.5,36.7177039021
0.516666666667,36.6764884285
0.533333333333,36.6337630816
0.55,36.5834298412
0.566666666667,36.5529361902
0.583333333333,36.498069092
0.6,36.4569368077
0.616666666667,36.3975506596
0.633333333333,36.3579776347
0.65,36.2925609072
0.666666666667,36.2423834076
0.683333333333,36.1907088871
0.7,36.1345018108
0.716666666667,36.0692151623
0.733333333333,36.0009320471
0.75,35.9478511378
0.766666666667,35.8796402406
0.783333333333,35.8099551027
0.8,35.7569617529
0.816666666667,35.6828113536
0.833333333333,35.6162670941
0.85,35.5603383408
0.866666666667,35.4893315328
0.883333333333,35.4183667417
0.9,35.3564953385
0.916666666667,35.2931475361
0.933333333333,35.2132554497
0.95,35.1484754145
0.966666666667,35.0807185817
0.983333333333,35.0084851439
1,34.9347896272
1.01666666667,34.8641423642
1.03333333333,34.7559924912
1.05,34.6809417837
1.06666666667,34.6254321572
1.08333333333,34.5414623346
1.1,34.4755235374
1.11666666667,34.4096174444
1.13333333333,34.3377568771
1.15,34.2554636651
1.16666666667,34.1836847874
1.18333333333,34.1089550297
1.2,34.0432262268
1.21666666667,33.974542871
1.23333333333,33.8879899194
1.25,33.8193820216
1.26666666667,33.7493166182
1.28333333333,33.6703474939
1.3,33.5988652441
1.31666666667,33.5244415478
1.33333333333,33.4574921774
1.35,33.3861125643
1.36666666667,33.2999072498
1.38333333333,33.2286018127
1.4,33.1573294335
1.41666666667,33.0905413076
1.43333333333,33.0074669563
1.45,32.9362950938
1.46666666667,32.8710820812
1.48333333333,32.7970084044
1.5,32.7229684359
1.51666666667,32.6504416149
1.53333333333,32.5779464663
1.55,32.5099183105
1.56666666667,32.4389615342
1.58333333333,32.368034183
1.6,32.2867990175
1.61666666667,32.2188858678
1.63333333333,32.1539498929
1.65,32.0860875492
1.66666666667,32.0049813022
1.68333333333,31.9415960919
1.7,31.8693929951
1.71666666667,31.785436803
1.73333333333,31.7118217565
1.75,31.642649467
1.76666666667,31.5823279044
1.78333333333,31.4999675474
1.8,31.4323400494
1.81666666667,31.3764910931
1.83333333333,31.3059670752
1.85,31.2222513394
1.86666666667,31.160587678
1.88333333333,31.0901370798
1.9,31.0299790162
1.91666666667,30.9595714316
1.93333333333,30.8891865962
1.95,30.8261525751
1.96666666667,30.7514143241
1.98333333333,30.6854892777
2,30.6298339835
2.01666666667,30.5624796143
2.03333333333,30.4892901883
2.05,30.4278284048
2.06666666667,30.3678450504
2.08333333333,30.2991016874
2.1,30.2274532936
2.11666666667,30.16751822
2.13333333333,30.0988294061
2.15,30.0330805254
2.16666666667,29.9658874823
2.18333333333,29.9089326684
2.2,29.8403106625
2.21666666667,29.7731652079
2.23333333333,29.7220870458
2.25,29.64913413
2.26666666667,29.5834922277
2.28333333333,29.5324475428
2.3,29.4682894542
2.31666666667,29.3997719237
2.33333333333,29.350215532
2.35,29.2802668821
2.36666666667,29.21761756
2.38333333333,29.1637196695
2.4,29.0967237257
2.41666666667,29.0370211842
2.43333333333,28.977329032
2.45,28.9205581588
2.46666666667,28.8637963481
2.48333333333,28.7706679665
2.5,28.7153840294
2.51666666667,28.6499265931
2.53333333333,28.5946600171
2.55,28.5263146323
2.56666666667,28.4681574177
2.58333333333,28.4201838611
2.6,28.3533207013
2.61666666667,28.2980937122
2.63333333333,28.2385144204
2.65,28.1847544692
2.66666666667,28.1310007544
2.68333333333,28.0714429416
2.7,28.0206066853
2.71666666667,27.9596100277
2.73333333333,27.9000726941
2.75,27.8463496769
2.76666666667,27.7897285055
2.78333333333,27.727306732
2.8,27.6794062809
2.81666666667,27.6242530255
2.83333333333,27.5734584328
2.85,27.5125103932
2.86666666667,27.4675286515
2.88333333333,27.4007871727
2.9,27.3514606924
2.91666666667,27.3064895404
2.93333333333,27.242664252
2.95,27.194798804
2.96666666667,27.1469362611
2.98333333333,27.091825287
3,27.0309173029
3.01666666667,26.9830639537
3.03333333333,26.9381130545
3.05,26.8772151583
3.06666666667,26.8293693717
3.08333333333,26.7742768738
3.1,26.7307847052
3.11666666667,26.6742472705
3.13333333333,26.6220611306
3.15,26.5698770285
3.16666666667,26.5278412289
3.18333333333,26.4771099198
3.2,26.424930798
3.21666666667,26.3814493844
3.23333333333,26.3234757086
3.25,26.2857936882
3.26666666667,26.2249240351
3.28333333333,26.1799973625
3.3,26.1278253198
3.31666666667,26.0829000466
3.33333333333,26.0307294039
3.35,25.9901526353
3.36666666667,25.9350846017
3.38333333333,25.8263986174
3.4,25.7684329329
3.41666666667,25.7322043355
3.43333333333,25.6727892276
3.45,25.6380094667
3.46666666667,25.5756952407
3.48333333333,25.540914867
3.5,25.4872945363
3.51666666667,25.4452672116
3.53333333333,25.3930945406
3.55,25.3539643683
3.56666666667,25.3003404972
3.58333333333,25.2670060758
3.6,25.2104812163
3.61666666667,25.1713476069
3.63333333333,25.1177186058
3.65,25.0814817722
